iter	Logloss
0	0.6881427527
1	0.6829155386
2	0.6775191918
3	0.6725147108
4	0.6667610849
5	0.6624470525
6	0.6591907661
7	0.6539787526
8	0.6496929721
9	0.6454122218
10	0.6403564433
11	0.6365812522
12	0.6324367172
13	0.6281307335
14	0.623629632
15	0.6193086734
16	0.6159692419
17	0.6127323807
18	0.6092850276
19	0.6059208537
20	0.6029175262
21	0.599899664
22	0.596274772
23	0.592766004
24	0.5894948369
25	0.5863779836
26	0.583211738
27	0.5814414638
28	0.5784565938
29	0.5755783079
30	0.5726272702
31	0.5700556676
32	0.5670014226
33	0.5641231815
34	0.5612981354
35	0.5589733572
36	0.5567616242
37	0.554218481
38	0.5518226344
39	0.5494970017
40	0.5469729721
41	0.5443883109
42	0.5421916954
43	0.5403089441
44	0.5380009071
45	0.5361424592
46	0.534541128
47	0.5324690395
48	0.5303009508
49	0.5283020827
50	0.5267585065
51	0.5249756386
52	0.5232528353
53	0.5212053157
54	0.519489476
55	0.5175771404
56	0.5162829164
57	0.5145172502
58	0.5133056726
59	0.5118762406
60	0.5103024278
61	0.5088857771
62	0.5074157427
63	0.5057380354
64	0.5043951757
65	0.5028487053
66	66	0.48498215667	0.4836168688
68	0.4822662305
69	0.4808110594
70	0.4793472985
71	0.4778800467
72	0.4763037764
73	0.4752153765
74	0.473330734
75	0.4719785482
76	0.4704340398
77	0.4688662006
78	0.4672715893
79	0.4659302559
80	0.4649177754
81	0.4637097857
82	0.4623600181
83	0.4613073083
84	0.4604302161
85	0.4593941305
86	0.4585421124
87	0.457541543
88	0.4563377385
89	0.4552950253
90	0.4540492299
91	0.453157856
92	0.4519672787
93	0.4507317217
94	0.4497599518
95	0.4486289756
96	0.4478248453
97	0.4469358217
98	0.4458462295
99	0.4451997744
100	0.444212003
101	0.4434234248
102	0.4427095795
103	0.4416741275
104	0.440562402
105	0.4397660014
106	0.4391414461
107	0.4385979949
108	0.4376169685
109	0.4367099085
110	0.4358507271
111	0.4350466113
112	0.4340686455
113	0.4333691787
114	0.4328021625
115	0.4319801714
116	0.4313475937
117	0.4304171047
118	0.4299241348
119	0.4291974987
120	0.4284180069
121	0.4278849555
122	0.4269879084
123	0.4264909442
124	0.4259192965
125	0.4253031145
126	0.4246303914
127	0.4240890503
128	0.4231681694
129	0.4223791621
130	0.421912817
131	0.4209890722
132	0.4203081174
133	0.4196158309
134	0.4190983508
135	0.4186550186
136	0.4181801638
137	0.4176903297
138	0.4170866221
139	0.4165715331
140	0.4160665842
141	0.4154994847
142	0.4150721188
143	0.4144386847
144	0.4139658397
145	0.4134268529
146	0.4129535485
147	0.4125339063
148	0.4120002649
149	0.4116068745
150	0.4113453198
151	0.4109693079
152	0.4105995379
153	0.4102780934
154	0.4097343808
155	0.4093390212
156	0.4084613455
157	0.4080544838
158	0.4075056261
159	0.407019776
